CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;17;7;29;1;360;18
01:00;1;22;6;23;4;400;28
02:00;7.2;17;7;95;75;1200;131
03:00;5.1;14;5;85;46;;83
04:00;5;12;6;66;28;930;55
05:00;4.5;18;7;64;58;920;106
06:00;6;25;8;96;169;1950;284
07:00;10.6;36;8;108;133;1570;239
08:00;6;36;7;105;159;1350;279
09:00;4;41;7;115;88;860;175
10:00;3.5;50;7;123;68;1000;154
11:00;4.1;52;7;98;39;770;111
12:00;3.5;76;10;;67;1400;177
13:00;5;47;19;93;23;710;82
14:00;2.7;30;10;54;10;450;45
15:00;1.1;30;7;39;7;420;41
16:00;0.7;36;6;36;8;480;47
17:00;1;32;6;37;9;460;46
18:00;1;47;5;34;20;770;77
19:00;2.4;45;7;56;34;910;97
20:00;3;42;6;36;20;660;74
21:00;2.1;35;7;21;8;410;47
22:00;1;40;6;21;8;480;53
23:00;0.7;23;;20;2;340;26
