CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.8;24;100;76;13;960;43
01:00;5;16;49;38;2;500;19
02:00;4.7;17;56;41;2;760;21
03:00;4.9;16;55;41;3;990;19
04:00;5.4;17;63;42;2;800;19
05:00;5.7;17;49;38;2;770;20
06:00;4.7;23;50;39;15;580;45
07:00;4;20;48;36;4;620;25
08:00;4.1;24;64;43;6;1140;33
09:00;5.1;23;75;47;11;1250;39
10:00;5.4;25;85;45;20;550;55
11:00;5.2;23;102;54;18;820;52
12:00;5;18;74;51;7;910;29
13:00;4.5;20;68;47;8;890;31
14:00;4.4;22;68;49;8;640;34
15:00;4;24;69;50;7;670;34
16:00;3.9;27;77;54;6;970;36
17:00;3.9;31;87;62;12;720;49
18:00;4.2;30;86;62;7;750;40
19:00;4.2;26;86;63;4;1020;31
20:00;4.7;28;97;68;6;1290;37
21:00;5.2;;94;69;;;
22:00;5.2;27;94;70;5;880;34
23:00;5.5;26;111;83;12;940;44
