CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;7;17;630;78
01:00;45;8;9;390;58
02:00;20;3;2;290;23
03:00;19;3;3;250;22
04:00;12;2;2;190;13
05:00;11;3;1;140;11
06:00;21;2;7;220;31
07:00;44;3;57;570;130
08:00;46;3;69;780;150
09:00;45;2;54;;126
10:00;44;3;34;370;95
11:00;42;3;30;360;86
12:00;42;4;29;340;86
13:00;43;6;30;310;88
14:00;42;3;22;280;74
15:00;47;3;25;290;84
16:00;49;4;30;420;94
17:00;51;8;38;490;110
18:00;55;9;32;460;102
19:00;58;6;44;650;125
20:00;56;6;42;740;119
21:00;59;8;39;730;118
22:00;58;7;23;610;92
23:00;56;8;25;630;95
