CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;40;16;73;66;15;210;62
01:00;33;10;124;104;51;320;110
02:00;28;8;135;92;38;300;85
03:00;29;7;130;89;30;230;74
04:00;24;6;109;84;32;220;72
05:00;23;5;132;96;36;220;78
06:00;21;6;137;99;50;320;98
07:00;20;11;123;104;91;580;158
08:00;24;13;133;114;148;900;250
09:00;27;13;152;130;182;1100;305
10:00;43;17;182;144;218;1390;375
11:00;48;31;196;145;140;1340;262
12:00;66;24;212;161;153;1550;299
13:00;68;22;215;163;124;930;257
14:00;71;24;224;158;104;700;229
15:00;81;26;223;153;157;1330;319
16:00;81;21;135;101;149;920;308
17:00;54;19;63;51;32;190;104
18:00;51;16;62;51;29;;94
19:00;48;14;73;62;35;140;102
20:00;47;17;83;73;36;290;102
21:00;44;17;86;77;24;;81
22:00;43;15;91;82;31;390;90
23:00;40;15;80;73;21;240;71
