CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;21;10;49;40;1;180;22
01:00;30;28;65;52;4;270;35
02:00;27;27;101;83;2;260;30
03:00;23;24;83;69;2;230;26
04:00;25;23;58;47;3;270;29
05:00;25;21;47;37;2;230;28
06:00;33;19;46;37;11;310;51
07:00;45;20;46;36;37;360;100
08:00;49;22;47;37;52;550;128
09:00;43;26;63;50;30;580;87
10:00;46;30;66;49;60;720;138
11:00;39;34;69;53;31;530;86
12:00;26;31;52;42;12;280;43
13:00;25;21;52;42;8;360;37
14:00;16;12;37;29;5;220;23
15:00;14;8;25;18;2;180;16
16:00;19;7;34;26;2;180;21
17:00;;;45;36;;;
18:00;33;9;46;35;4;220;40
19:00;30;10;62;42;6;290;39
20:00;31;10;46;31;7;270;40
21:00;22;9;44;33;2;;25
22:00;20;15;49;38;2;340;24
23:00;16;9;40;32;1;180;17
