CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;18;4;3;430;22
01:00;15;4;2;370;17
02:00;19;5;3;610;23
03:00;17;4;3;570;21
04:00;16;4;3;470;18
05:00;20;5;6;520;29
06:00;26;6;23;650;59
07:00;31;5;45;690;100
08:00;33;6;34;610;83
09:00;38;7;46;620;109
10:00;36;11;37;500;92
11:00;31;9;23;390;66
12:00;30;16;21;300;62
13:00;28;25;18;;54
14:00;;;;;
15:00;30;20;18;190;56
16:00;28;7;15;230;50
17:00;37;14;19;240;64
18:00;38;6;20;300;67
19:00;43;6;20;400;72
20:00;38;6;12;320;56
21:00;31;5;8;350;43
22:00;28;4;7;410;39
23:00;23;4;7;440;32
