CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;3.1177;37.1175;4.37302;56.2794;35.5982;81.4651;933.15;647.598;161
01:00;2.2005;31.6894;4.59394;53.3889;35.3347;49.4013;730.838;705.292;106.8
02:00;2.76425;22.4299;3.6127;28.9544;20.1985;20.1459;570.666;671.033;53
03:00;2.09864;19.3542;3.60309;26.6479;19.087;12.8091;462.6;695.737;38.9
04:00;1.75857;17.2654;3.22996;30.2341;21.1188;12.948;514.232;709.034;36.9
05:00;1.33564;14.533;3.83732;26.8256;19.0443;10.7769;424.986;688.752;30.9
06:00;1.46548;16.3795;3.37773;35.5779;24.7101;48.6056;499.708;631.236;90.3
07:00;1.97713;14.1737;3.74718;31.0316;21.6145;50.6327;467.79;543.391;91.1
08:00;2.26314;25.9498;3.83658;38.9665;23.9948;69.2265;604.526;521.116;131.1
09:00;3.65875;41.5652;4.81487;81.9195;43.4703;61.847;756.115;537.578;135.5
10:00;2.00878;30.2376;5.95424;62.1709;19.3583;18.2422;348.656;509.827;57.9
11:00;1.311;19.4823;5.58406;22.4979;12.0303;5.66727;306.03;490.255;28.2
12:00;0.69;10.9131;4.58508;17.0653;10.4708;1.99936;280.203;461.002;13.9
13:00;0.66;7.64244;3.89717;14.8272;9.29069;1.25323;259.495;440.315;9.6
14:00;0.66;10.6193;4.27253;14.6856;8.84671;1.77143;265.899;411.089;13.3
15:00;0.66;6.30174;4.22154;14.7517;8.95475;0.661256;249.295;383.777;7.4
16:00;0.72981;8.12281;4.56734;16.6789;9.48127;0.857313;264.071;341.22;9.5
17:00;0.9;11.3478;4.68557;37.2077;15.7465;1.39387;269.29;280.367;13.4
18:00;0.9;13.6301;4.51562;22.5852;11.3071;1.53208;301.147;274.429;15.9
19:00;1.7654;13.8597;4.56217;25.9794;16.2321;2.0146;401.615;286.377;16.9
20:00;2.11572;29.1786;4.47203;54.5723;31.6563;11.293;497.355;313.521;46.4
21:00;3.76067;40.2139;4.88063;49.1421;28.6556;24.7536;665.077;364.219;77.9
22:00;5.30226;60.7563;4.92792;51.7323;30.2989;105.863;1028.41;459.532;221.8
23:00;6.63958;45.5427;4.52079;63.3464;38.2962;95.7142;1084.74;563.963;191
