CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.7;15;2;28;25;1;530;16
01:00;0.4;12;2;25;21;1;470;14
02:00;0.4;23;5;24;15;3;440;27
03:00;0.4;17;5;22;16;2;400;19
04:00;1.2;18;4;21;17;2;390;20
05:00;0.7;18;3;20;17;2;400;21
06:00;1.3;18;2;19;16;4;410;25
07:00;;21;3;14;14;6;380;29
08:00;;21;2;17;16;7;400;32
09:00;0.4;22;2;15;15;8;410;34
10:00;0.4;22;2;13;12;8;450;35
11:00;0.4;19;1;11;10;6;400;29
12:00;0.9;19;3;10;9;7;400;28
13:00;0.4;;;9;8;;;
14:00;0.4;26;4;11;9;7;430;36
15:00;;31;7;12;11;10;440;45
16:00;;23;5;13;11;8;440;35
17:00;1;26;11;14;14;8;440;38
18:00;0.4;33;6;17;16;9;480;47
19:00;0.4;33;7;25;22;4;500;39
20:00;0.4;28;6;31;25;2;500;30
21:00;0.4;18;4;28;24;1;470;19
22:00;1.6;23;3;40;35;3;520;27
23:00;1.3;28;3;29;26;3;590;33
