CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;9;24;73;51;8;750;36
01:00;6;23;92;69;8;840;34
02:00;5.8;18;113;86;9;1060;31
03:00;6;17;111;84;12;1040;34
04:00;6.2;18;101;74;7;1170;28
05:00;6;19;90;67;5;960;26
06:00;5.8;22;94;70;8;1010;34
07:00;6.5;21;97;73;6;1200;30
08:00;;20;109;77;11;1500;37
09:00;;21;121;86;19;1520;49
10:00;14.1;23;122;88;26;1410;62
11:00;9.4;24;127;91;21;1400;55
12:00;4.9;24;124;90;18;1470;51
13:00;7.2;23;119;85;15;1440;46
14:00;8.8;20;115;85;12;1670;38
15:00;8;22;112;82;14;1660;43
16:00;8.3;23;145;95;13;1650;43
17:00;7.5;19;112;64;6;1840;27
18:00;6.7;18;87;49;4;1030;24
19:00;5.7;17;90;51;4;810;23
20:00;5.2;19;89;55;6;840;27
21:00;5.7;22;89;58;6;860;31
22:00;5.2;24;80;54;7;760;34
23:00;6.5;25;85;55;9;770;38
