CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.6;21;6;63;38;32;890;71
01:00;21.9;18;6;97;58;42;1610;83
02:00;1;7;4;38;27;1;260;8
03:00;1;8;3;35;24;1;330;10
04:00;1;9;3;35;24;1;;10
05:00;1;9;3;39;26;1;290;10
06:00;1;14;4;44;28;1;280;15
07:00;1;14;6;39;29;1;250;15
08:00;1;17;6;42;30;2;300;20
09:00;1;18;7;45;33;2;330;22
10:00;1;15;6;56;38;3;550;20
11:00;1.4;16;9;54;40;7;450;27
12:00;2.1;14;8;54;40;5;530;22
13:00;2.1;21;12;75;47;14;640;42
14:00;5.4;20;14;68;43;22;950;55
15:00;6.4;17;14;43;29;14;870;38
16:00;4;18;14;24;16;9;690;32
17:00;3.2;14;7;11;8;2;340;18
18:00;1;17;8;16;11;2;350;22
19:00;1.4;16;12;20;14;2;390;20
20:00;2.1;16;6;22;17;2;380;20
21:00;2.1;15;5;25;18;2;390;18
22:00;2.1;14;5;23;17;2;410;17
23:00;3;16;5;24;18;2;450;19
