CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;0.4;2;6;3;200
01:00;0.4;2;5;3;190
02:00;0.4;4;3;3;210
03:00;0.4;3;3;3;270
04:00;0.4;3;5;4;290
05:00;0.4;3;5;4;250
06:00;0.4;4;6;4;160
07:00;0.4;3;6;4;190
08:00;0.4;3;5;4;200
09:00;0.4;3;5;3;200
10:00;0.7;3;5;3;250
11:00;0.4;2;5;4;310
12:00;0.8;4;6;4;290
13:00;0.4;3;8;5;260
14:00;0.4;3;8;6;310
15:00;0.4;2;9;7;250
16:00;0.6;2;8;5;280
17:00;0.6;2;7;3;270
18:00;0.6;2;8;4;220
19:00;0.9;2;8;5;220
20:00;0.9;3;8;5;250
21:00;0.9;2;6;4;270
22:00;0.8;2;7;4;210
23:00;0.9;2;6;4;
