CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;39;2;64;1110;136
01:00;35;2;60;1110;126
02:00;31;2;3;580;35
03:00;31;3;3;550;35
04:00;47;3;18;680;74
05:00;42;3;8;590;54
06:00;50;3;26;800;89
07:00;69;3;52;990;149
08:00;75;4;59;1060;164
09:00;83;5;115;1410;259
10:00;78;6;77;1140;195
11:00;50;13;19;670;79
12:00;37;22;12;510;55
13:00;30;14;9;490;44
14:00;40;13;15;520;62
15:00;;;;;
16:00;35;11;10;510;50
17:00;40;9;10;510;55
18:00;53;14;15;;76
19:00;72;12;25;730;109
20:00;74;5;50;1220;150
21:00;65;3;35;930;118
22:00;52;3;57;1060;139
23:00;42;3;38;1040;100
