CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;9.4;33;28;3;690;38
01:00;12;37;31;4;900;43
02:00;5.5;14;4;2;580;16
03:00;5.8;21;6;3;630;25
04:00;4.8;15;3;1;460;16
05:00;1.6;14;2;1;440;15
06:00;1.3;16;2;2;420;18
07:00;3.3;20;5;3;450;24
08:00;4.6;21;6;4;490;27
09:00;3;17;4;3;440;22
10:00;1;15;2;4;390;21
11:00;4.8;25;7;8;670;37
12:00;5.9;21;12;7;640;30
13:00;4.4;15;8;5;480;22
14:00;2.7;14;9;4;390;19
15:00;3.1;15;10;4;430;21
16:00;1.6;14;10;3;480;18
17:00;1.3;10;5;2;;13
18:00;0.9;11;3;1;250;13
19:00;1.1;12;2;1;250;14
20:00;1.1;13;2;1;320;15
21:00;1.4;14;4;1;340;16
22:00;4.6;;;;;
23:00;9.5;39;36;4;1070;45
