CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.2;26;2;51;22;500;59
01:00;2;27;3;51;15;390;50
02:00;0;23;2;19;1;280;24
03:00;0;;;35;;;
04:00;0;27;1;27;5;320;33
05:00;0;27;2;20;15;390;50
06:00;0.2;35;1;21;17;470;60
07:00;1.1;39;2;34;24;600;75
08:00;1.1;39;5;50;21;620;71
09:00;1.1;38;7;26;17;560;63
10:00;1.1;26;14;43;12;390;44
11:00;0.4;23;15;21;8;340;34
12:00;0;22;14;28;7;320;33
13:00;0;25;18;14;7;310;36
14:00;0;17;13;15;6;280;25
15:00;0;29;15;20;8;310;40
16:00;0;30;15;13;9;400;43
17:00;0;32;14;14;7;370;43
18:00;0;33;16;16;7;390;44
19:00;0;31;9;34;3;370;35
20:00;0.8;38;5;45;11;490;55
21:00;1.7;47;5;53;29;590;90
22:00;1.9;32;3;56;31;610;79
23:00;2.2;30;3;53;34;;81
