CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.5;12;12;54;41;1;460;13
01:00;4.5;47;29;164;132;4;1280;53
02:00;4.5;32;27;142;115;3;1090;37
03:00;4.4;25;21;113;92;2;870;28
04:00;3.8;21;17;92;75;2;720;25
05:00;3.1;15;16;83;67;1;620;17
06:00;2.8;12;14;84;68;1;590;14
07:00;2.6;15;12;87;71;2;610;17
08:00;2.6;16;15;85;69;2;610;18
09:00;2.3;13;13;78;64;2;550;16
10:00;2.3;13;14;78;63;2;570;16
11:00;2.3;11;16;69;56;2;480;14
12:00;1.9;9;13;74;60;2;430;12
13:00;1.9;8;19;73;59;2;430;11
14:00;1.8;9;16;52;42;2;400;11
15:00;1.6;9;13;48;39;1;390;10
16:00;1.6;9;11;51;39;1;350;10
17:00;1.3;9;13;51;41;1;350;10
18:00;1.3;14;12;49;40;1;340;16
19:00;1.3;15;10;53;41;1;330;16
20:00;1.3;14;14;54;43;1;350;14
21:00;1.3;14;16;58;47;1;400;15
22:00;1.3;14;14;64;52;1;410;15
23:00;1.5;13;10;59;48;1;390;14
