CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;1.40343;38.7786;10.6172;42.1882;25.605;3.58894;524.21;459.952;44.2764
01:00;1.15972;38.5374;9.6785;41.0934;24.3096;3.49437;510.123;477.542;43.8948
02:00;1.35562;21.4458;12.6988;52.316;34.8476;2.31353;423.013;344.147;24.996
03:00;1.2501;20.3942;13.2499;44.4023;30.3543;2.05062;397.339;360.181;23.5347
04:00;1.27102;18.4158;10.9863;39.9215;26.6043;2.25153;393.008;375.111;21.8677
05:00;1.04842;20.1131;9.987;38.495;26.5363;2.1296;395.821;386.4;23.3795
06:00;1.00008;35.433;10.6091;38.4762;24.6215;10.718;482.871;405.198;51.8737
07:00;0.892835;53.2377;10.5788;34.5826;20.5261;21.9527;515.085;424.909;86.915
08:00;0.638035;42.9187;10.5751;33.4394;18.1995;15.3017;476.95;439.317;66.3896
09:00;0.60313;37.5187;10.6083;35.5075;19.4509;12.8153;434.549;439.829;57.1774
10:00;0.586985;31.3456;10.8917;36.2215;19.8658;10.7588;409.428;438.131;47.8494
11:00;1.0762;23.0251;9.8494;34.9203;19.5674;7.85852;339.963;430.959;35.0823
12:00;0.54261;24.48;10.2037;37.2556;20.496;8.59356;349.919;425.573;37.6627
13:00;0.951461;25.1926;10.9294;40.8009;20.5747;8.44288;363.814;421.572;38.1479
14:00;0.767194;26.2081;11.2068;43.7895;21.4364;9.00092;370.821;407.566;40.02
15:00;0.518708;29.8444;12.1477;37.8425;18.5842;8.91536;353.473;387.365;43.5356
16:00;0.55641;26.02;8.0016;40.2249;19.372;6.82629;344.942;370.864;36.4857
17:00;0.524391;26.6545;9.2976;41.5865;18.7604;6.50414;369.403;362.72;36.635
18:00;0.475595;31.6017;15.6599;38.6786;17.7216;7.08573;363.902;357.03;42.4628
19:00;0.521775;25.0555;8.367;38.8339;17.999;4.97518;369.418;360.711;32.6857
20:00;1.01956;37.8535;8.8241;44.4058;21.4552;6.45842;422.875;369.831;47.7596
21:00;1.50273;43.152;8.7391;42.6524;24.1372;5.57894;486.837;385.209;51.7142
22:00;1.50526;64.1355;11.3481;51.1092;28.2578;8.09823;609.113;414.995;76.5545
23:00;1.52365;46.2;11.2963;45.8651;28.4927;6.10649;533.859;437.544;55.5679
