CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;1.80696;48.6869;2.63832;29.595;18.4092;57.2124;700.141;447.212;136.1
01:00;1.52113;38.4556;2.51788;31.8494;20.8657;41.9626;684.433;488.905;102.7
02:00;2.80419;21.7352;2.12257;22.709;16.5599;4.73374;398.439;499.081;28.9
03:00;4.54409;18.4302;2.14843;21.9654;16.072;4.14731;374.511;503.121;24.7
04:00;2.50758;15.6515;1.77825;20.7557;15.4909;3.14244;353.412;496.065;20.4
05:00;4.70945;19.3484;1.80411;19.9888;14.8375;5.59349;339.898;495.023;27.8
06:00;5.52315;14.7779;2.03391;21.4328;15.5189;6.65378;343.283;480.281;25
09:00;2.7252;38.2053;1.69919;29.221;19.3667;27.6685;587.043;472.645;80.5
10:00;0.624479;42.8501;1.26251;25.8187;15.3444;22.5891;500.088;447.638;77.5052
11:00;3.11615;34.9638;2.02726;19.247;11.1037;13.5476;382.501;409.897;55.7358
12:00;1.48079;16.4661;3.2191;13.7447;8.66813;4.70743;356.085;404.603;23.6941
13:00;0.977347;11.2851;6.6823;11.9755;8.23508;3.01081;291.544;394.232;15.9018
14:00;0.476172;5.92339;5.8909;8.53598;6.41289;1.67375;266.467;383.364;8.51338
15:00;1.24498;3.74895;4.7552;10.2492;7.33439;0.959497;260.83;373.48;5.22674
16:00;0.649481;7.92035;5.7786;12.5624;8.15669;1.33671;278.473;365.379;9.96779
17:00;0.3648;9.22704;5.7749;15.8404;9.29798;1.42678;297.271;329.157;11.4249
18:00;0.706307;13.0004;10.0316;18.1178;9.22647;1.88366;341.956;309.391;15.8843
20:00;0.987007;9.06656;8.7482;14.2771;8.95183;1.18569;338.7;303.916;10.8882
21:00;0.727328;6.62483;6.2264;15.402;9.00741;0.940099;307.511;297.844;8.06436
22:00;0.944958;9.54906;6.5419;15.1663;9.61589;1.08108;346.02;304.653;11.2022
