CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;52;10;130;46;6;680;61
01:00;48;6;133;39;8;620;61
02:00;25;2;61;24;7;430;36
03:00;32;2;54;32;11;460;48
04:00;31;1;39;24;15;350;54
05:00;27;1;38;19;10;350;42
06:00;27;1;52;24;22;490;61
07:00;40;5;62;27;39;820;98
08:00;62;19;135;37;39;960;121
09:00;65;31;179;61;43;1050;130
10:00;36;16;70;50;18;330;63
11:00;18;10;34;14;7;220;29
12:00;;;;;;260;
13:00;;;;;;280;
14:00;17;19;34;11;3;260;21
15:00;23;17;46;10;4;250;29
16:00;19;12;39;11;3;;24
17:00;20;15;35;8;4;320;25
18:00;18;12;36;6;3;290;24
19:00;20;14;61;11;3;300;25
20:00;37;12;124;20;4;400;43
21:00;48;30;184;49;4;970;55
22:00;41;21;105;43;4;630;47
23:00;61;19;152;31;6;1060;69
