CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;25;2;36;26;4;410;30
01:00;15;2;29;23;2;380;17
02:00;25;1;25;18;3;380;30
03:00;23;1;24;19;3;390;28
04:00;20;2;24;18;2;340;23
05:00;20;2;25;20;2;350;23
06:00;31;2;28;21;16;430;54
07:00;41;4;32;23;42;610;104
08:00;43;3;38;25;50;620;120
09:00;39;7;32;19;23;580;74
10:00;32;10;25;16;16;620;56
11:00;24;9;22;13;10;400;39
12:00;22;9;23;15;9;400;35
13:00;23;7;19;11;9;320;35
14:00;21;5;18;11;7;290;32
15:00;22;3;19;11;7;310;32
16:00;22;3;17;10;8;290;35
17:00;22;4;15;8;6;280;30
18:00;21;5;16;9;5;340;27
19:00;24;6;16;8;5;320;31
20:00;27;5;27;16;3;380;31
21:00;18;3;70;52;2;540;20
22:00;;;49;32;;;
23:00;38;2;56;40;8;520;50
