CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;31.1224;3.29471;23.2447;10.715;2.60346;472.362;362.584;35.119
01:00;34.9755;3.31835;24.8545;11.3996;3.05619;471.948;395.642;39.6645
02:00;29;5.75846;21.7045;10.6038;3.65298;377.641;305.094;34.6
03:00;26.3;6.70054;27.4436;13.8392;3.46908;362.736;315.359;31.6
04:00;19.1;6.1811;23.1651;11.7592;4.46599;356.616;325.09;25.9
05:00;21.7;6.50991;25.8449;13.3178;6.74004;381.081;334.569;32
06:00;28.4;6.34144;30.73;15.6964;21.6396;475.103;357.643;61.6
07:00;;;33.3903;16.8565;;;368.685;
08:00;;;31.0877;13.0772;;461.715;391.41;
09:00;29.583;;20.822;7.97889;16.0711;;402.482;54.2378
10:00;19.0986;3.35973;17.3502;5.29694;6.81693;;;29.5553
11:00;25.9142;9.99864;17.6644;6.11319;8.58248;281.16;;39.0879
12:00;22.7525;11.8843;15.1191;4.55389;6.80897;266.869;;33.1996
13:00;13.8358;9.78141;13.0927;3.41847;4.07249;228.162;;20.0764
14:00;14.0866;6.79261;13.7375;3.54264;3.74827;241.725;;19.8288
15:00;11.14;5.2934;12.5037;3.20542;2.53037;232.741;285.395;15.0186
16:00;8.40445;4.83751;10.547;3;2.24633;203.296;242.325;11.8686
17:00;12.0843;4.31659;11.0505;3;2.49746;207.483;237.348;15.9204
18:00;7.78963;3.46761;8.15843;3;1.07346;206.121;233.445;9.43747
19:00;10.581;3.48682;9.90784;3;1.13858;220.518;225.864;12.333
20:00;17.6012;3.67302;17.8169;5.50722;1.15659;291.975;229.003;19.3744
21:00;16.8838;2.92896;24.2903;8.28097;3.52728;350.911;244.346;22.2827
22:00;41.6827;3.17501;30.8204;8.76111;30.3513;561.006;284.256;88.2616
23:00;50.271;3.54593;28.926;11.1904;7.22359;590.299;328.951;61.3536
