CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;7.5;16;3;60;860;108
01:00;;22;3;115;1160;198
02:00;;27;3;135;1430;232
03:00;;33;3;167;1600;286
04:00;;36;3;186;1710;319
05:00;;30;4;179;1690;302
06:00;;30;3;189;1750;319
07:00;;30;2;219;1930;364
08:00;;30;3;215;1860;359
09:00;;39;4;291;2480;483
10:00;;41;2;223;3190;382
11:00;;46;4;111;1540;216
12:00;31.8;41;6;133;1030;244
13:00;24.5;45;5;34;;97
14:00;20.4;31;7;16;330;55
15:00;14.4;23;9;6;190;32
16:00;8.8;24;5;3;140;28
17:00;4.3;29;4;3;200;33
18:00;3.6;25;3;2;170;28
19:00;4;29;4;4;210;34
20:00;4.4;32;6;7;270;41
21:00;5.4;20;5;2;180;23
22:00;13.4;27;4;23;380;62
23:00;9.9;19;4;53;790;100
