CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;0.4;2;22;330
01:00;0.4;3;25;920
02:00;0.4;2;38;300
03:00;1;;30;
04:00;6.2;7;63;1630
05:00;10.6;8;86;1100
06:00;9.7;5;91;
07:00;0.6;3;54;360
08:00;0.4;4;33;370
09:00;0.4;5;45;690
10:00;0.9;7;42;720
11:00;0.9;5;;1120
12:00;5.4;6;;1300
13:00;5.3;17;;1130
14:00;5;9;;500
15:00;0.7;5;;400
16:00;0.4;3;;320
17:00;0.4;1;;330
18:00;0.4;1;14;350
19:00;0.4;2;18;650
20:00;1.3;1;58;1110
21:00;11.4;6;122;1860
22:00;25.7;7;113;400
23:00;0.9;3;53;360
