CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;41;2;31;680;86
01:00;39;2;33;670;86
02:00;39;3;6;390;48
03:00;24;3;1;340;26
04:00;25;4;2;330;28
05:00;30;2;7;420;39
06:00;32;2;19;500;62
07:00;39;2;53;730;120
08:00;45;4;72;860;155
09:00;44;6;65;740;143
10:00;43;9;44;580;110
11:00;35;14;24;430;72
12:00;35;25;20;350;65
13:00;38;27;21;340;70
14:00;40;25;19;350;69
15:00;;25;;470;
16:00;;;;;
17:00;63;37;27;430;100
18:00;61;19;20;490;86
19:00;73;12;28;670;111
20:00;85;10;49;910;154
21:00;61;5;33;850;108
22:00;49;2;43;900;112
23:00;48;2;40;;107
