CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;6;77;68;1300;147
01:00;34;5;77;38;1000;92
02:00;27;8;35;3;500;31
03:00;20;6;32;1;410;22
04:00;35;7;34;7;540;46
05:00;38;8;45;27;730;79
06:00;35;9;52;28;820;78
07:00;20;11;27;10;550;34
08:00;14;9;24;7;420;24
09:00;16;9;19;8;420;27
10:00;11;11;12;6;300;19
11:00;7;7;9;4;240;12
12:00;8;5;10;3;280;13
13:00;7;6;14;3;280;12
14:00;9;7;8;3;300;13
15:00;8;8;8;3;330;12
16:00;11;9;12;3;330;15
17:00;8;10;9;2;;10
18:00;12;8;8;1;380;13
19:00;25;8;14;2;410;27
20:00;44;9;36;17;690;69
21:00;40;7;47;26;830;79
22:00;50;7;61;60;1250;141
23:00;47;7;73;47;1190;119
