CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;6;54;15;;53
01:00;23;5;42;11;410;40
02:00;;;;;;
03:00;;;;;;
04:00;;;;;;
05:00;;;;;;
06:00;;;;;;
07:00;;;;;;
08:00;;;;;;
09:00;;;;;;
10:00;20;11;55;4;340;26
11:00;13;13;53;2;320;17
12:00;14;17;43;2;300;17
13:00;17;14;52;1;410;18
14:00;27;5;85;3;720;33
15:00;29;3;78;4;540;36
16:00;47;3;70;6;820;57
17:00;65;3;83;18;910;92
18:00;68;3;80;11;630;85
19:00;57;3;71;11;570;74
20:00;40;3;74;12;590;59
21:00;45;3;78;18;680;72
22:00;40;4;84;15;680;63
23:00;32;4;70;5;530;38
