CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;14;3;29;9;1;250;16
01:00;15;3;25;7;1;220;16
02:00;22;2;48;24;2;290;25
03:00;35;2;78;40;3;970;39
04:00;27;2;40;23;2;510;31
05:00;31;2;40;22;5;420;38
06:00;43;2;45;23;25;480;81
07:00;36;4;65;36;12;630;54
08:00;48;9;123;56;25;990;85
09:00;35;27;82;35;14;1110;56
10:00;27;22;59;20;7;670;38
11:00;16;12;43;10;4;360;21
12:00;10;4;31;5;1;240;12
13:00;10;8;40;9;1;290;12
14:00;19;15;61;13;2;400;22
15:00;17;15;59;11;3;310;21
16:00;20;18;77;13;2;440;24
17:00;14;11;81;8;1;330;16
18:00;20;15;102;14;2;560;22
19:00;21;16;61;9;2;530;24
20:00;24;17;51;12;1;540;26
21:00;43;24;87;25;1;980;46
22:00;16;4;33;7;1;320;17
23:00;15;3;26;5;1;240;16
