CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6.8;30;3;118;26;1160;69
01:00;10;17;3;97;33;1550;66
02:00;7.3;17;2;81;26;;57
03:00;6.7;23;2;85;28;1360;64
04:00;6.3;27;1;73;30;1340;72
05:00;6.1;20;2;76;39;1390;78
06:00;6.3;23;2;74;75;1600;137
07:00;6.9;28;6;104;145;2150;250
08:00;8.6;32;6;128;157;2260;272
09:00;10.1;;;159;;;
10:00;11.3;57;10;229;158;2110;298
11:00;10.4;55;12;172;55;1170;139
12:00;5;56;13;132;46;1170;126
13:00;4.5;58;13;102;51;1180;134
14:00;4.5;62;13;119;77;1450;179
15:00;5.7;59;15;126;95;1570;203
16:00;6.9;58;12;144;137;1920;266
17:00;8.5;51;10;135;144;1940;270
18:00;9.5;44;7;156;142;1990;260
19:00;8.6;40;8;142;198;2640;342
20:00;14.4;45;9;178;163;2730;293
21:00;17.1;44;9;176;99;1850;195
22:00;12.1;42;8;160;121;2070;225
23:00;13.1;39;7;140;28;1200;82
