CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.3;12;6;1;240;13
01:00;1.1;12;6;1;1290;14
02:00;7.8;10;3;77;;127
03:00;8.6;11;4;64;1790;109
04:00;7.2;19;4;11;740;34
05:00;3.1;20;4;5;670;27
06:00;6.2;26;5;7;980;36
07:00;5.7;27;5;8;670;38
08:00;6;31;7;28;880;73
09:00;9;33;10;37;1040;89
10:00;9;31;14;41;1220;92
11:00;9.8;28;15;36;950;83
12:00;8.1;26;15;24;820;63
13:00;5.2;21;16;15;610;44
14:00;3.1;17;11;6;430;26
15:00;1.8;16;8;4;390;22
16:00;1.8;16;5;6;790;25
17:00;9.3;16;5;6;850;25
18:00;5.9;17;6;4;670;23
19:00;3.3;14;5;2;440;17
20:00;2.4;16;4;2;400;19
21:00;2.2;15;5;2;360;18
22:00;1.9;14;6;1;310;16
23:00;1.4;12;5;1;270;13
