CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;57;35;131;101;23;1140;92
01:00;39;22;345;263;155;3710;276
02:00;35;29;341;263;108;3580;199
03:00;35;34;325;251;78;3250;153
04:00;33;30;313;243;81;3240;158
05:00;34;26;307;238;98;3210;185
06:00;31;22;273;211;89;2970;168
07:00;36;26;210;162;70;2260;143
08:00;39;27;150;115;26;1640;78
09:00;36;31;150;116;14;1320;58
10:00;36;32;166;126;16;1370;60
11:00;34;28;145;107;16;970;58
12:00;32;27;130;94;12;980;50
13:00;36;30;130;94;14;970;57
14:00;35;26;125;94;9;790;50
15:00;33;27;112;86;6;710;43
16:00;35;27;108;83;3;670;40
17:00;39;27;117;89;3;760;43
18:00;44;24;135;102;9;870;57
19:00;46;28;135;103;11;1030;64
20:00;46;27;139;106;13;;66
21:00;44;29;139;106;9;1030;58
22:00;47;26;155;117;12;1210;66
23:00;56;32;137;104;27;1250;98
