CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;32.5;58;16;77;5;66
01:00;21.4;31;10;84;2;34
02:00;1;32;5;22;1;34
03:00;1;36;5;14;3;40
04:00;1;24;3;24;1;26
05:00;1;23;5;33;3;27
06:00;1;;;37;;
07:00;1;21;4;25;10;35
08:00;0.7;16;4;31;4;22
09:00;0.7;17;6;25;5;25
10:00;1;15;7;26;4;20
11:00;0.7;17;15;26;4;23
12:00;1;10;15;21;0;11
13:00;0.4;11;10;22;3;16
14:00;0.4;5;5;13;0;5
15:00;0.4;7;5;8;0;7
16:00;0.4;8;5;14;0;8
17:00;0.4;6;2;13;1;6
18:00;0.4;5;2;7;0;5
19:00;0.4;10;2;7;0;10
20:00;0.7;16;5;5;0;16
21:00;1.6;18;4;23;1;18
22:00;3.8;73;11;28;10;88
23:00;28.3;68;17;42;3;73
