CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;22;13;72;1480;132
01:00;18;10;55;1430;102
02:00;;;;1310;
03:00;;;;1310;
04:00;;;;1400;
05:00;;;;1510;
06:00;;;;1590;
07:00;;;;2060;
08:00;;;;2150;
09:00;;;;2390;
10:00;;;;1760;
11:00;;;;1540;
12:00;;;;1260;
13:00;;;;850;
14:00;31;10;16;570;55
15:00;36;8;18;560;63
16:00;46;8;34;600;98
17:00;51;4;30;560;96
18:00;60;9;49;;135
19:00;42;7;34;1010;93
20:00;40;9;78;1220;159
21:00;43;9;161;1840;288
22:00;37;15;159;2240;279
23:00;32;16;138;1920;243
