CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;34;2;11;350;51
01:00;30;2;12;410;48
02:00;13;1;1;190;14
03:00;21;1;2;220;23
04:00;23;2;2;250;26
05:00;18;1;1;210;20
06:00;34;1;10;560;50
07:00;43;1;13;500;62
08:00;44;2;18;440;71
09:00;65;2;39;610;124
10:00;49;4;30;490;93
11:00;37;7;17;390;63
12:00;30;8;8;300;42
13:00;21;7;6;310;30
14:00;18;6;5;240;25
15:00;25;7;10;250;40
16:00;29;7;10;270;44
17:00;23;9;6;260;31
18:00;27;12;6;250;36
19:00;34;9;8;300;47
20:00;30;8;4;250;36
21:00;35;9;3;290;39
22:00;31;4;5;310;38
23:00;30;3;5;310;37
