CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;34;14;43;26;4;2390;41
01:00;42;12;178;136;131;;243
02:00;46;18;159;123;40;1390;107
03:00;43;14;150;116;37;1290;99
04:00;27;7;148;114;40;1150;87
05:00;25;5;134;100;49;950;100
06:00;40;6;118;87;189;1560;328
07:00;48;6;108;76;345;2310;576
08:00;58;7;128;87;375;2690;630
09:00;72;9;173;110;469;3180;789
10:00;69;17;92;39;87;980;202
11:00;41;19;47;18;18;280;69
12:00;43;17;51;22;16;290;68
13:00;37;15;48;22;13;230;57
14:00;39;15;48;23;15;280;61
15:00;34;15;39;14;16;220;58
16:00;27;9;31;10;11;240;43
17:00;28;7;27;7;9;280;41
18:00;31;11;26;9;7;260;41
19:00;38;15;34;16;11;290;55
20:00;50;15;46;24;12;430;69
21:00;51;14;49;26;11;400;68
22:00;51;15;49;28;11;420;68
23:00;45;16;45;26;9;450;59
