CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.6;22;4;61;1;470;23
01:00;1;23;5;45;1;420;24
02:00;4.2;21;5;57;1;330;21
03:00;1;26;6;49;1;360;28
04:00;1;23;7;53;1;360;24
05:00;1;39;5;50;7;500;50
06:00;1.4;54;5;61;10;580;70
07:00;1.5;34;5;68;7;520;46
08:00;2;33;6;75;6;510;42
09:00;2;32;9;69;4;470;38
10:00;2;27;19;52;4;;32
11:00;1;15;19;39;2;340;19
12:00;0;11;9;30;2;240;14
13:00;0;13;13;32;2;280;16
14:00;0;16;14;51;2;280;19
15:00;0;13;11;38;1;230;15
16:00;0;13;10;29;3;220;18
17:00;0;13;11;32;1;230;15
18:00;0;15;9;40;2;200;18
19:00;0;14;7;23;1;220;15
20:00;0;20;7;61;1;400;21
21:00;2.9;25;7;101;1;510;25
22:00;1.1;22;6;84;1;780;23
23:00;2.9;35;5;85;3;660;39
