CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.6;14;41;23;1;610;16
01:00;0.8;22;47;26;2;580;24
02:00;1.9;9;35;25;2;530;13
03:00;1.7;10;34;24;5;530;17
04:00;2.1;9;36;25;6;550;18
05:00;2.6;13;45;30;4;710;18
06:00;2.9;11;47;32;2;730;14
07:00;1.3;11;46;31;2;700;14
08:00;1.7;19;59;41;6;700;27
09:00;0.9;19;55;36;6;760;29
10:00;2;18;56;39;7;810;28
11:00;1.4;18;46;32;10;570;33
12:00;2.5;18;35;25;10;440;32
13:00;1.6;15;28;20;8;430;27
14:00;3.6;7;24;16;3;420;11
15:00;2.9;5;21;12;1;370;6
16:00;1.6;4;25;14;1;360;5
17:00;2.3;6;32;17;1;500;7
18:00;2;9;33;18;1;470;10
19:00;1.9;9;22;15;1;370;11
20:00;1.7;14;21;13;1;350;16
21:00;1.7;13;17;11;1;320;14
22:00;1.2;11;19;13;1;330;13
23:00;2.5;27;30;18;7;470;37
