CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;33;2;28;15;4;350;39
01:00;40;3;39;20;5;480;47
02:00;29;1;57;40;13;590;49
03:00;20;1;49;33;7;520;30
04:00;16;1;46;32;5;400;24
05:00;14;1;40;26;7;340;24
06:00;12;1;42;29;7;320;24
07:00;17;1;43;29;15;320;38
08:00;21;2;30;18;7;280;30
09:00;18;2;23;11;4;240;25
10:00;;;18;7;;;
11:00;18;5;14;4;3;220;22
12:00;21;14;6;4;4;180;26
13:00;14;4;4;4;3;180;18
14:00;8;3;4;4;1;160;10
15:00;9;2;4;4;1;170;11
16:00;7;1;4;4;1;170;9
17:00;5;1;5;4;0;160;6
18:00;5;2;6;4;0;170;5
19:00;7;1;5;4;0;160;7
20:00;8;1;9;4;1;170;9
21:00;11;2;11;4;0;190;11
22:00;15;3;16;5;1;200;16
23:00;30;2;21;9;1;260;33
