CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.1;57;4;61;36;40;630;118
01:00;2.5;43;3;54;34;14;440;65
02:00;0.4;39;2;56;33;3;400;44
03:00;0.4;25;1;44;26;2;240;28
04:00;0.4;22;1;64;40;4;250;27
05:00;0.4;18;1;124;82;4;320;25
06:00;0.4;23;1;93;61;20;300;54
07:00;0.4;30;1;65;42;38;370;89
08:00;0.4;47;3;38;20;41;390;110
09:00;0.4;49;4;39;16;32;390;97
10:00;0.4;35;4;24;8;9;260;49
11:00;0.4;16;4;17;5;2;200;19
12:00;0.4;13;3;15;4;1;190;14
13:00;0.4;;;14;3;;;
14:00;0.4;14;8;26;5;1;240;16
15:00;0.4;21;10;26;5;2;310;25
16:00;0.4;14;6;14;3;2;200;17
17:00;0.4;8;5;12;3;0;160;9
18:00;0.4;8;6;29;18;0;240;8
19:00;0.4;10;6;20;6;0;;10
20:00;0.4;22;7;46;20;1;430;24
21:00;1.1;47;4;75;45;11;660;64
22:00;2.7;77;4;58;31;39;680;137
23:00;2.8;66;4;69;39;66;800;167
