CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;8;20;7;113;91;84;2380;148
01:00;6;38;16;90;74;15;460;60
02:00;5.7;31;15;91;75;8;410;42
03:00;5.2;22;16;91;76;5;370;29
04:00;4.7;25;15;85;68;8;330;36
05:00;4.4;28;13;81;66;11;300;45
06:00;4.4;28;10;81;63;56;530;114
07:00;4.4;29;7;148;71;115;660;204
08:00;6.2;37;7;134;76;256;1430;427
09:00;;53;7;157;93;360;2170;603
10:00;;34;9;;;109;570;199
11:00;;33;27;68;48;31;370;80
12:00;;24;24;46;34;12;270;43
13:00;;26;19;52;36;11;230;41
14:00;;25;15;59;41;8;230;36
15:00;;27;12;59;37;7;300;37
16:00;;54;11;101;52;89;660;190
17:00;;49;10;115;59;79;660;169
18:00;;48;7;168;92;174;;315
19:00;;47;8;215;134;250;2860;430
20:00;;39;8;224;149;267;3170;446
21:00;;33;8;213;147;233;3300;388
22:00;;30;8;;;159;2740;272
23:00;8.5;29;7;116;95;113;2170;201
