CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.6;35;2;47;11;600;52
01:00;2.9;29;2;47;11;510;46
02:00;0.9;17;3;47;1;210;17
03:00;0.6;12;3;47;1;180;13
04:00;0.6;18;3;47;2;210;20
05:00;0.6;29;3;47;4;290;33
06:00;1.2;33;3;47;20;380;62
07:00;1.5;36;3;47;36;510;90
08:00;1.5;35;4;47;35;630;88
09:00;1.5;36;5;47;29;620;80
10:00;1.5;34;6;47;20;540;64
11:00;0.9;27;11;47;13;460;44
12:00;0.6;21;12;47;7;400;31
13:00;0.6;11;7;47;3;300;15
14:00;0.6;15;6;47;5;340;22
15:00;0.6;15;5;47;5;330;21
16:00;0.6;14;4;47;6;340;22
17:00;0.6;13;2;47;4;320;19
18:00;0.6;16;4;47;4;270;22
19:00;0.6;21;3;47;2;330;26
20:00;0.8;27;3;47;3;440;31
21:00;1.5;62;5;47;35;700;114
22:00;2.6;60;2;47;65;;159
23:00;4;47;3;47;34;710;97
