CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;23;4;49;36;3;270;26
01:00;13;4;56;44;1;280;13
02:00;41;16;124;88;23;1200;74
03:00;43;16;114;73;17;1130;69
04:00;25;9;83;58;6;660;32
05:00;30;16;90;62;11;1040;46
06:00;24;22;64;46;8;410;34
07:00;31;14;98;64;34;740;83
08:00;31;20;117;70;62;930;125
09:00;31;43;105;62;51;720;108
10:00;36;33;113;60;38;640;92
11:00;35;31;96;50;22;560;67
12:00;39;16;36;15;12;330;57
13:00;25;13;13;3;7;190;36
14:00;22;14;19;6;6;170;29
15:00;26;12;19;7;6;200;34
16:00;40;27;18;7;10;250;55
17:00;33;10;20;6;7;240;44
18:00;43;19;17;5;10;230;57
19:00;50;11;23;8;8;320;62
20:00;52;9;30;13;5;400;60
21:00;44;8;38;22;7;360;53
22:00;36;6;45;33;14;370;57
23:00;24;7;39;29;2;280;26
