CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4.5;38;4;39;640;97
01:00;2.5;33;4;17;520;58
02:00;3.4;13;4;33;650;63
03:00;2.6;14;4;22;520;47
04:00;2.1;19;5;10;380;33
05:00;3.6;25;8;9;900;39
06:00;6;39;12;52;1120;117
07:00;8.1;38;15;28;870;81
08:00;9.1;40;21;24;1050;76
09:00;4.7;36;20;39;880;96
10:00;1;20;9;11;310;36
11:00;2.3;22;12;12;370;40
12:00;0.9;15;8;5;360;21
13:00;1.2;12;7;3;370;16
14:00;0.4;7;6;0;190;7
15:00;0.4;7;6;0;190;7
16:00;0.4;8;6;0;270;8
17:00;0.4;;;;;
18:00;0.4;;;;;
19:00;3.6;43;;7;630;53
20:00;6.5;72;9;52;1410;152
21:00;5.5;63;7;86;1390;193
22:00;5.2;47;4;77;1100;164
23:00;7;39;4;105;990;199
