CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0;15;8;32;1;440;16
01:00;0;13;8;33;1;380;15
02:00;0;7;4;22;2;330;9
03:00;0;6;3;26;4;390;12
04:00;0;;4;17;;330;
05:00;0;19;4;10;5;390;26
06:00;0;24;4;10;8;440;35
07:00;0;10;5;17;4;430;15
08:00;0;8;5;30;4;430;15
09:00;0;11;5;15;6;430;20
10:00;0;11;6;7;6;400;18
11:00;0;;6;8;;390;
12:00;0;13;6;7;8;420;25
13:00;0;10;8;12;6;420;20
14:00;0;8;8;16;6;400;17
15:00;0;13;4;9;17;440;37
16:00;0;10;4;8;3;370;14
17:00;0;10;5;13;3;;14
18:00;0;16;4;8;7;320;25
19:00;0;23;5;3;4;360;28
20:00;0;;;29;;;
21:00;0;22;4;18;7;400;32
22:00;0;27;5;23;8;400;38
23:00;0.5;24;6;26;14;460;41
