CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;6;226;172;2160
01:00;3;169;125;1930
02:00;5;152;111;1560
03:00;4;129;94;1350
04:00;2;115;88;1310
05:00;4;108;82;1210
06:00;4;115;84;1290
07:00;4;113;80;1320
08:00;12;136;103;1300
09:00;20;140;104;1280
10:00;26;108;75;1000
11:00;18;98;70;730
12:00;16;75;52;520
13:00;11;63;45;400
14:00;8;71;51;370
15:00;8;70;51;350
16:00;8;55;39;290
17:00;11;60;42;370
18:00;12;118;84;580
19:00;9;216;124;1940
20:00;6;244;161;2120
21:00;6;274;188;2560
22:00;6;260;192;2190
23:00;6;239;180;2180
