CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;3;5;330;37
01:00;28;4;4;390;32
02:00;30;8;5;430;36
03:00;28;9;3;430;31
04:00;24;9;3;390;28
05:00;23;8;4;420;28
06:00;32;8;16;440;55
07:00;36;7;34;570;88
08:00;43;8;46;540;111
09:00;41;12;40;480;101
10:00;36;20;31;;84
11:00;34;18;26;450;74
12:00;33;19;20;400;63
13:00;24;11;12;270;40
14:00;17;6;8;160;28
15:00;20;4;10;230;35
16:00;24;4;12;290;42
17:00;17;3;5;120;24
18:00;37;3;20;250;67
19:00;57;4;51;530;133
20:00;60;3;62;690;155
21:00;28;4;10;290;42
22:00;14;3;3;190;17
23:00;32;3;10;240;47
