CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5;37;7;93;5;900;45
01:00;5.5;28;7;88;1;680;31
02:00;9.4;31;4;113;15;670;55
03:00;3.4;29;4;85;9;650;43
04:00;1;25;3;67;10;620;41
05:00;1;23;3;62;21;640;56
06:00;1;31;4;65;24;;68
07:00;1;39;3;65;19;760;68
08:00;2;33;4;81;8;610;45
09:00;1;31;7;78;5;530;38
10:00;1.6;51;15;99;8;1040;63
11:00;11.1;49;23;173;6;1150;58
12:00;11.8;28;29;166;2;880;32
13:00;3.4;12;20;103;1;360;13
14:00;1;12;12;58;2;280;14
15:00;0.5;10;11;44;1;230;11
16:00;0.5;23;11;42;2;340;26
17:00;0.5;21;10;25;3;290;25
18:00;0;25;18;51;4;300;31
19:00;0.5;39;19;52;5;460;46
20:00;1;36;18;58;5;570;43
21:00;1;45;11;60;5;690;52
22:00;1;50;8;76;4;830;56
23:00;1.5;33;7;84;1;740;35
