CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;33;4;18;13;8;410;45
01:00;20;3;21;14;5;330;27
02:00;16;5;16;11;3;250;20
03:00;17;4;17;12;3;250;21
04:00;15;5;19;13;3;230;20
05:00;15;6;19;13;3;230;19
06:00;18;8;20;14;5;250;25
07:00;19;7;20;14;7;270;29
08:00;17;8;19;13;8;290;30
09:00;16;11;20;13;8;370;27
10:00;17;8;20;13;9;290;30
11:00;13;8;16;10;6;310;23
12:00;8;5;14;7;3;230;12
13:00;18;4;8;5;8;270;29
14:00;17;5;11;7;7;280;27
15:00;27;4;11;8;11;360;44
16:00;25;4;10;8;12;350;43
17:00;17;5;10;7;7;290;28
18:00;18;4;11;7;7;270;28
19:00;19;6;12;7;7;280;28
20:00;22;4;9;6;6;280;30
21:00;36;2;8;6;8;350;48
22:00;35;2;11;8;6;440;44
23:00;34;2;15;11;9;520;47
