CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;31;2;30;17;4;36
01:00;25;2;24;14;2;27
02:00;30;2;20;13;6;39
03:00;32;2;17;12;7;41
04:00;23;2;18;13;3;27
05:00;19;2;23;14;2;22
06:00;29;3;28;16;13;48
07:00;47;3;;;34;98
08:00;55;4;;;33;104
09:00;59;5;;;35;112
10:00;50;6;;;26;88
11:00;40;7;;;15;63
12:00;34;7;;;10;48
13:00;37;10;;;9;50
14:00;31;8;;;9;46
15:00;24;6;;;7;35
16:00;27;7;;;10;41
17:00;27;4;;;9;40
18:00;27;3;;;8;38
19:00;28;8;;;7;38
20:00;23;3;;;4;29
21:00;25;3;;;3;30
22:00;22;3;;;2;24
23:00;28;3;;;4;34
