CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.8;27;6;5;230;35
01:00;6.6;15;3;71;1440;123
02:00;8.7;13;2;45;1220;81
03:00;5.9;17;3;9;420;31
04:00;1.3;13;4;3;170;18
05:00;0.4;10;4;3;120;14
06:00;0.4;22;3;5;210;28
07:00;0.4;34;4;10;300;49
08:00;0.7;;;;;
09:00;0.9;45;7;24;450;82
10:00;0.9;35;5;17;380;60
11:00;0.9;27;5;15;340;50
12:00;1;31;10;17;330;56
13:00;0.9;20;6;12;270;37
14:00;0.4;18;5;9;210;32
15:00;0.4;21;5;11;240;38
16:00;0.4;26;9;10;250;42
17:00;0.4;30;12;10;250;46
18:00;1;38;8;14;370;59
19:00;1.2;37;10;15;390;60
20:00;1.3;46;15;17;;72
21:00;1.5;38;8;14;390;59
22:00;0.8;18;6;4;210;24
23:00;0.7;27;7;6;300;36
