CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.4;16;3;2;380;18
01:00;0.6;18;5;2;310;21
02:00;0.6;14;4;2;190;17
03:00;0.4;13;4;2;250;16
04:00;0.4;12;5;2;230;15
05:00;0.4;18;4;3;260;23
06:00;0.4;20;3;4;280;26
07:00;0.4;23;2;6;300;32
08:00;0.4;20;3;4;;26
09:00;0.9;;;;;
10:00;0.4;11;3;3;280;15
11:00;0.7;10;3;2;220;13
12:00;0.7;9;4;2;200;12
13:00;0.4;9;4;1;230;11
14:00;1;11;3;2;260;14
15:00;1.6;11;2;1;250;13
16:00;2.3;12;3;1;230;13
17:00;1.8;11;3;1;240;12
18:00;1.3;16;3;2;330;19
19:00;3.3;28;2;8;470;39
20:00;5.1;18;3;2;410;22
21:00;3.7;20;3;8;590;32
22:00;4.9;17;3;34;870;69
23:00;5.9;19;2;16;590;42
