CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.9;22;6;35;3;290;28
01:00;0.4;25;9;32;2;270;29
02:00;0.9;48;5;31;14;660;70
03:00;1;40;5;31;21;560;73
04:00;1.8;27;5;26;4;240;35
05:00;0.4;33;4;21;14;230;55
06:00;0.4;47;5;19;44;600;115
07:00;1.4;43;6;28;23;520;79
08:00;1.8;44;6;50;22;530;77
09:00;1.8;36;5;47;15;500;58
10:00;1.3;25;5;40;10;420;41
11:00;1.3;21;5;41;9;380;35
12:00;0.7;23;4;24;10;340;38
13:00;0.4;29;12;25;11;380;47
14:00;0.7;25;15;36;10;360;40
15:00;0.4;29;20;35;13;350;49
16:00;0.4;26;23;40;11;330;43
17:00;0.4;22;5;44;10;340;37
18:00;0.4;34;5;40;12;440;52
19:00;0.7;39;4;40;10;470;54
20:00;0.9;43;3;35;7;530;55
21:00;0.9;44;3;27;7;500;55
22:00;0.9;50;4;31;6;;60
23:00;0.9;40;6;45;8;450;51
