CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;19;54;42;680
01:00;111;236;192;2130
02:00;116;237;195;2090
03:00;120;254;209;2250
04:00;115;256;210;2270
05:00;101;272;222;2450
06:00;117;285;231;2650
07:00;105;287;235;2690
08:00;94;298;244;2800
09:00;84;308;252;2800
10:00;94;295;245;2680
11:00;101;280;227;2830
12:00;124;238;183;2570
13:00;101;214;166;2000
14:00;103;224;178;1770
15:00;83;172;139;1390
16:00;56;113;90;870
17:00;37;124;97;880
18:00;38;149;118;1100
19:00;30;95;73;980
20:00;37;91;69;1010
21:00;28;76;58;1000
22:00;26;81;64;920
23:00;24;64;49;2280
