CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;;8;36;27;870
01:00;;7;38;35;580
02:00;;6;38;28;500
03:00;;5;44;31;550
04:00;;6;38;29;660
05:00;;5;24;16;370
06:00;;6;20;15;360
07:00;;6;;;570
08:00;;8;;;1660
09:00;;10;83;51;1300
10:00;;10;64;31;570
11:00;;9;35;23;520
12:00;;7;27;21;590
13:00;;9;41;34;710
14:00;;10;41;33;570
15:00;;9;26;22;460
16:00;0.4;9;37;30;710
17:00;;10;29;26;610
18:00;;23;27;22;510
19:00;;22;40;23;550
20:00;;8;34;20;520
21:00;;8;82;42;880
22:00;;7;68;50;1010
23:00;;;82;59;
