CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;0.341747;7.08341;5.24641;27.1214;14.4063;1.00314;313.197;355.296;8.61913
01:00;1.37096;5.05298;4.92351;24.0961;14.0514;0.961922;291.253;355.236;6.51748
02:00;2.06518;30.8936;3.72208;40.896;29.5604;5.72782;609.382;713.264;39.6789
03:00;1.51716;22.5915;2.93147;37.5264;27.6922;4.92669;561.647;743.242;30.1452
04:00;1.43355;21.162;2.7098;35.6683;26.537;4.69392;519.956;754.128;28.3549
05:00;2.07402;20.2278;2.95585;41.9495;31.6264;9.17342;509.895;754.034;34.2948
06:00;1.63838;15.2222;2.71276;44.0629;32.4032;8.48826;498.643;690.431;28.2423
07:00;1.17866;24.1739;3.36446;39.7493;25.027;10.1291;539.071;605.274;39.7128
08:00;1.61782;23.0155;4.20014;29.8623;18.9236;7.06495;505.254;560.702;33.8559
09:00;0.841785;20.4016;10.3433;23.3897;14.3867;4.83109;411.701;519.444;27.8102
10:00;0.484615;18.8553;14.2372;20.4305;11.3833;4.1532;384.56;491.341;25.2293
11:00;0.419675;14.0648;7.34485;20.4197;9.06659;3.07593;354.503;465.448;18.7734
12:00;0.304406;20.6482;7.22884;18.5954;8.38148;4.12064;335.135;442.345;26.9669
13:00;0.396134;17.7723;11.8979;17.9884;8.58151;3.19613;320.585;418.682;22.6749
14:00;0.321994;17.7436;10.4231;16.3332;7.82519;3.17465;302.195;394.125;22.6074
15:00;0.3;17.0395;10.0049;15.1344;7.1673;2.43165;286.412;362.543;20.763
16:00;0.968237;11.9525;8.58249;14.6649;7.13592;1.65643;289.36;335.556;14.4974
17:00;0.86298;10.5194;5.14001;16.8833;8.31927;1.37412;291.735;320.561;12.6263
18:00;0.951371;10.0438;4.53781;34.7593;17.6844;1.0163;379.515;319.93;11.613
19:00;0.386393;9.30887;4.92942;37.8949;19.1836;0.984437;359.354;320.536;10.8175
20:00;0.586354;15.8359;11.5122;41.2542;25.4748;1.05371;388.55;327.213;17.4551
21:00;0.513657;12.6247;13.2545;38.6586;21.781;1.03189;388.961;335.76;14.2019
22:00;1.09586;12.2868;9.56743;33.518;16.7708;0.907539;364.441;343.541;13.6955
23:00;0.3;11.9903;6.60744;32.2122;15.1057;0.975778;356.619;352.317;13.4755
