CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;19.9;27;4;89;150;2580;255
01:00;2.9;30;9;89;4;580;36
02:00;2.5;26;8;89;2;560;28
03:00;2.4;31;7;89;6;550;38
04:00;2.4;29;4;89;24;600;66
05:00;2.5;26;3;89;20;560;56
06:00;2.5;23;2;89;22;;56
07:00;3.8;51;4;89;173;1780;316
08:00;5.1;55;7;89;107;1370;218
09:00;5.1;55;10;89;107;1430;218
10:00;4.5;47;12;89;75;1070;162
11:00;3.4;34;14;89;36;720;89
12:00;2.7;31;12;89;21;660;62
13:00;2.5;29;10;89;21;590;61
14:00;2;33;9;89;27;570;74
15:00;2.4;41;8;89;34;710;93
16:00;2.6;51;7;89;45;920;119
17:00;3.8;60;6;89;93;1170;201
18:00;5;53;5;89;93;1230;195
19:00;9.3;56;6;89;157;1650;297
20:00;10.5;47;5;89;178;1800;319
21:00;14.3;50;5;89;240;2440;416
22:00;17.4;39;5;89;229;2410;389
23:00;19.8;34;5;89;226;2980;379
