CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;33;3;7;630;43
01:00;32;2;13;;51
02:00;44;8;9;530;57
03:00;38;8;7;500;47
04:00;37;7;7;410;46
05:00;36;5;9;420;48
06:00;37;6;13;460;57
07:00;40;7;19;490;68
08:00;36;7;17;530;61
09:00;36;6;20;480;66
10:00;39;7;25;500;77
11:00;35;8;24;450;71
12:00;31;13;11;280;47
13:00;;;;;
14:00;23;6;6;200;31
15:00;25;4;8;230;37
16:00;21;4;5;200;28
17:00;22;3;5;170;28
18:00;25;3;5;170;31
19:00;29;3;5;340;36
20:00;23;4;4;330;29
21:00;22;2;4;310;27
22:00;21;3;4;450;26
23:00;24;3;5;390;31
