CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;64;20;292;271;90;1250;202
01:00;60;27;150;138;55;980;143
02:00;51;22;128;119;26;680;91
03:00;47;19;102;95;15;340;69
04:00;46;15;96;88;15;270;69
05:00;45;15;88;81;20;320;76
06:00;45;14;73;67;38;340;102
07:00;46;13;70;64;40;330;107
08:00;51;12;80;72;81;550;176
09:00;54;11;93;82;121;700;239
10:00;54;16;80;71;87;;187
11:00;53;20;62;55;61;290;145
12:00;44;20;61;53;53;200;124
13:00;46;21;60;53;37;;102
14:00;46;17;70;60;30;;92
15:00;52;14;80;65;40;;113
16:00;60;11;77;63;75;;174
17:00;59;8;101;90;107;200;223
18:00;55;9;107;97;50;190;131
19:00;53;9;108;98;75;260;169
20:00;48;8;199;179;234;1950;405
21:00;45;8;235;212;266;2740;452
22:00;40;7;234;213;221;2440;378
23:00;39;8;240;220;227;2650;384
