CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;20.9442;4.79549;155.431;124.339;38.2181;1161.55;910.779;79.5739
01:00;10.4613;3.71745;190.763;129.521;88.6404;1767.45;1680.12;146.421
02:00;10.3137;3.30884;163.748;109.183;70.6176;1577.79;1769.62;118.641
03:00;13.2422;3.63617;191.064;108.7;63.7692;1454.7;1765.07;111.063
04:00;14.8289;3.43298;285.549;108.236;49.4674;1225.3;1699.52;90.7171
05:00;14.7142;3.00886;139.587;84.614;38.9954;1529.98;1663.82;74.523
06:00;25.919;2.97413;130.84;67.6072;12.3664;1781.01;1632.06;44.8939
07:00;24.1814;2.96304;109.129;56.2631;29.0173;879.277;1496.14;68.6905
08:00;23.3726;2.72364;97.1124;54.5592;50.8651;999.376;1401.86;101.405
09:00;25.4541;2.5803;114.472;66.089;47.35;1387.02;1354.31;98.0939
10:00;27.6322;4.25019;134.009;72.2116;45.6593;1534.32;1348.87;97.6804
11:00;28.102;9.19927;103.85;56.698;34.3988;1279.4;1326.96;80.8678
12:00;22.999;8.34068;;;19.4691;519.169;1238.69;52.8732
13:00;29.6419;14.4055;;;19.3694;799.196;1147.35;59.3514
14:00;25.5471;16.3214;;;9.88871;569.077;995.854;40.7081
15:00;26.9855;12.2634;;;6.77918;516.946;950.563;37.3811
16:00;36.2864;11.9479;;;7.05421;630.511;904.455;47.1172
17:00;44.5936;9.93446;;;7.43939;800.349;831.121;56.0142
18:00;25.8526;7.90399;;;1.61348;564.142;709.849;28.3299
19:00;24.9083;5.95481;;;1.92142;785.194;648.073;27.8554
20:00;33.0646;5.96146;;;3.33469;1083.17;718.573;38.1691
21:00;31.8116;5.71319;;;5.64891;1059.69;751.135;40.4738
22:00;35.9681;5.63413;;;5.30598;984.807;803.101;44.1037
23:00;32.8159;4.79918;159.729;126.897;29.7804;847.334;844.4;78.5053
