CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;20;7;29;2;350;24
01:00;64;30;221;27;1300;105
02:00;64;30;181;16;;89
03:00;62;31;193;14;1280;84
04:00;57;34;176;9;1210;70
05:00;56;31;176;18;1360;84
06:00;57;24;165;34;1490;109
07:00;51;15;167;46;1430;121
08:00;59;25;190;55;1660;143
09:00;50;21;174;24;1220;87
10:00;27;14;143;7;670;38
11:00;22;10;128;6;480;31
12:00;21;5;84;7;460;32
13:00;22;5;45;6;470;31
14:00;19;6;57;6;410;30
15:00;21;5;52;5;450;29
16:00;18;6;40;4;370;25
17:00;20;5;29;4;390;27
18:00;17;3;33;4;320;24
19:00;21;2;17;5;500;28
20:00;30;2;7;5;670;38
21:00;32;4;21;6;490;41
22:00;32;6;22;5;500;40
23:00;29;8;18;5;490;37
