CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;15;2;4;290;20
01:00;15;3;3;310;19
02:00;22;8;3;260;26
03:00;18;7;2;200;21
04:00;20;5;3;170;24
05:00;18;6;3;220;23
06:00;30;6;13;280;50
07:00;38;5;24;410;75
08:00;44;6;27;330;85
09:00;40;7;26;350;79
10:00;38;5;20;220;68
11:00;;;;540;
12:00;;3;;;
13:00;20;5;11;640;35
14:00;27;6;15;330;50
15:00;28;5;15;200;51
16:00;27;3;12;260;45
17:00;33;7;15;290;56
18:00;34;5;17;340;60
19:00;36;3;13;330;56
20:00;51;6;16;;75
21:00;37;6;9;440;50
22:00;36;6;9;410;49
23:00;25;4;8;350;37
