CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;8;2;11;1;250;9
01:00;1;17;12;16;6;420;26
02:00;1;;;18;;;
03:00;1;19;12;26;1;;22
04:00;1;19;12;18;1;410;20
05:00;0.7;19;12;18;4;440;25
06:00;0.6;20;9;22;7;440;31
07:00;0.4;19;7;21;5;450;27
08:00;0.4;16;6;10;7;450;27
09:00;0.7;18;6;8;8;500;31
10:00;0.8;17;7;23;8;510;28
11:00;0.9;11;5;14;4;360;17
12:00;0.4;10;4;12;3;370;15
13:00;0.4;15;4;9;5;450;22
14:00;0.4;13;3;9;4;390;21
15:00;0.4;15;3;15;6;410;25
16:00;0.4;15;4;10;5;320;22
17:00;0.5;14;3;16;4;330;22
18:00;0.7;23;3;15;5;330;32
19:00;0.8;21;4;14;4;390;27
20:00;1;21;3;21;5;410;29
21:00;0.7;20;4;21;5;460;27
22:00;0.4;14;3;20;1;310;16
23:00;0.4;9;4;13;2;290;13
