CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;0.4;3;11;6;650
01:00;0.4;4;7;4;220
02:00;3.2;3;63;44;260
03:00;2.7;3;61;42;700
04:00;2.6;3;57;39;440
05:00;2.2;3;50;35;580
06:00;2;3;50;35;650
07:00;2.2;3;53;36;640
08:00;2.4;4;63;39;240
09:00;2.8;3;70;44;180
10:00;2.5;4;75;30;230
11:00;2.7;4;41;13;250
12:00;1.8;5;28;6;380
13:00;1.4;5;30;7;290
14:00;1.3;7;32;8;260
15:00;1.4;6;30;9;210
16:00;1.4;6;42;18;340
17:00;2.1;5;57;29;410
18:00;1.2;6;29;10;250
19:00;1.3;7;27;11;260
20:00;1;7;24;13;240
21:00;1.1;5;20;12;320
22:00;0.6;4;11;5;190
23:00;0.4;4;8;5;150
