CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;31;5;10;730;46
01:00;26;5;7;710;36
02:00;25;3;9;710;38
03:00;18;3;11;680;33
04:00;16;3;7;650;26
05:00;15;3;11;680;30
06:00;14;3;17;650;39
07:00;16;3;32;720;63
08:00;12;2;16;650;35
09:00;16;3;25;720;53
10:00;25;4;27;750;65
11:00;21;12;12;630;40
12:00;24;14;14;490;45
13:00;31;14;20;520;60
14:00;25;14;12;;42
15:00;26;13;12;400;44
16:00;25;11;12;440;43
17:00;26;11;9;420;39
18:00;23;7;9;460;36
19:00;43;4;36;710;99
20:00;49;8;34;770;99
21:00;43;8;22;700;76
22:00;35;5;20;750;64
23:00;30;4;14;750;51
