CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.5;22;5;25;2;400;26
01:00;0.5;22;6;24;1;270;25
02:00;0.5;21;2;39;1;590;22
03:00;1.6;30;3;47;0;820;31
04:00;2.7;53;3;65;1;1320;55
05:00;19.4;58;5;97;8;1500;70
06:00;31.5;51;5;145;10;2270;67
07:00;32.4;30;5;168;16;760;55
08:00;10.4;11;5;128;1;370;13
09:00;1.8;8;4;72;0;350;9
10:00;0.7;6;3;56;0;310;7
11:00;0.5;4;3;45;0;250;4
12:00;0.5;9;3;41;2;290;12
13:00;0.5;12;2;25;3;260;17
14:00;0.5;13;3;27;2;340;17
15:00;0.5;11;3;38;1;280;13
16:00;0.5;11;2;36;1;290;14
17:00;0.5;10;3;34;3;270;15
18:00;0.5;11;3;38;3;290;16
19:00;0.5;12;4;24;3;290;18
20:00;0.5;17;3;22;3;370;23
21:00;0.5;22;4;22;3;480;27
22:00;0.5;22;6;16;3;370;27
23:00;0.5;23;5;20;3;420;28
