CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2;31;9;88;5;;39
01:00;4;37;20;80;11;1060;54
02:00;4;35;19;86;8;880;47
03:00;3.4;34;10;87;16;860;58
04:00;3;33;9;102;29;880;77
05:00;3.1;43;14;91;84;1420;171
06:00;4.5;49;20;87;80;1290;172
07:00;3.9;53;21;98;96;1230;200
08:00;3.6;53;22;111;72;1330;163
09:00;4;49;25;97;65;1320;148
10:00;3.9;45;30;88;43;1100;111
11:00;;;;;;;
12:00;;;;;;;
13:00;3;44;28;77;29;1060;90
14:00;3;52;26;76;37;1090;109
15:00;3.1;59;28;;55;1340;143
16:00;4.1;62;24;;50;1310;139
17:00;4.3;60;32;;57;1190;146
18:00;3.5;47;33;;28;970;90
19:00;3;45;29;;26;930;85
20:00;3;39;17;;16;800;63
21:00;2.4;33;13;;13;710;52
22:00;2;31;10;;10;560;47
23:00;2;32;9;90;13;590;52
